구별,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,살인,강도,강간,절도,폭력,범죄,검거
강남구,0.2941176470588236,0.7,0.5576923076923077,0.3999999999999999,0.75,13,21,449,3850,4284,2.7018099547511314,8617
강동구,0.26470588235294135,1.0,0.5769230769230769,0.10000000000000009,0.25,4,6,156,2366,2712,2.1916289592760183,5244
강북구,0.9999999999999998,0.8400000000000001,0.653846153846154,0.43333333333333335,1.0,7,14,153,1434,2649,3.9271794871794876,4257
강서구,0.9999999999999998,1.0,0.46153846153846145,1.0,0.5,7,13,262,2096,3207,3.9615384615384612,5585
관악구,0.6470588235294119,1.0,0.40384615384615397,0.0,0.0,9,12,320,2706,3298,2.050904977375566,6345
광진구,0.9999999999999998,1.0,0.8269230769230769,0.3999999999999999,0.375,4,14,240,3026,2625,3.6019230769230766,5909
구로구,0.26470588235294135,0.45999999999999996,0.1923076923076923,0.2666666666666666,0.0,8,15,281,2335,3007,1.1836802413273002,5646
금천구,0.9999999999999998,1.0,0.6153846153846154,0.8666666666666667,0.75,3,6,151,1567,2054,4.232051282051282,3781
노원구,0.9999999999999998,1.0,0.25,0.19999999999999996,0.625,10,7,197,2193,2723,3.075,5130
도봉구,0.9999999999999998,1.0,1.0,0.46666666666666656,0.875,3,9,102,1063,1487,4.341666666666667,2664
동대문구,0.9999999999999998,1.0,0.6923076923076923,0.3666666666666667,0.875,5,13,173,1981,2548,3.9339743589743588,4720
동작구,0.9999999999999998,0.10000000000000009,0.0,0.16666666666666674,0.375,5,9,285,1865,1910,1.6416666666666666,4074
마포구,0.9999999999999998,0.41999999999999993,0.6923076923076923,0.033333333333333215,0.5,8,14,294,2555,2983,2.645641025641025,5854
서대문구,0.9999999999999998,0.6000000000000001,0.6153846153846154,0.33333333333333326,0.375,2,5,154,1812,2056,2.9237179487179485,4029
서초구,0.26470588235294135,0.32000000000000006,0.28846153846153855,0.3666666666666667,0.875,8,9,393,2635,2399,2.114834087481147,5444
성동구,0.9999999999999998,0.76,0.8846153846153846,0.2333333333333334,0.75,4,9,126,1607,1612,3.6279487179487178,3358
성북구,0.9999999999999998,0.6000000000000001,0.653846153846154,0.3666666666666667,0.375,5,5,150,1785,2209,2.9955128205128205,4154
송파구,0.7058823529411764,0.52,0.6153846153846154,0.1333333333333333,0.5,11,13,220,3239,3295,2.474600301659125,6778
양천구,0.9999999999999998,0.0,0.75,0.16666666666666674,0.0,3,6,120,1890,2509,1.9166666666666665,4528
영등포구,0.5588235294117647,0.8,0.26923076923076916,0.06666666666666665,0.25,14,22,295,2964,3572,1.9447209653092006,6867
용산구,0.9999999999999998,1.0,0.7884615384615385,0.2333333333333334,0.375,5,14,194,1557,2050,3.3967948717948717,3820
은평구,0.9999999999999998,0.32000000000000006,0.6923076923076923,0.2333333333333334,0.75,3,9,166,1914,2653,2.9956410256410253,4745
종로구,0.4999999999999998,0.6200000000000001,0.5384615384615385,0.2666666666666666,0.5,6,11,211,2184,2293,2.425128205128205,4705
중구,0.0,0.32000000000000006,0.32692307692307687,0.10000000000000009,1.0,3,9,170,2548,2224,1.746923076923077,4954
중랑구,0.7647058823529413,0.6200000000000001,0.5961538461538463,0.2666666666666666,0.5,13,11,187,2135,2847,2.7475263951734545,5193

